薬効分類コード,意味,服薬指導文章
6164,主として抗酸菌に作用するもの,服薬アドヒアランス良好であり飲み忘れなく継続できている｜自覚症状の変化なく副作用の発現も認められない｜処方通り継続服用されており治療効果の指標に特段の懸念はない｜定期的な血液検査等の経過を含め体調に変化なく安定している
6165,主として抗酸菌に作用するもの,服薬アドヒアランス良好であり飲み忘れなく継続できている｜自覚症状の変化なく副作用の発現も認められない｜処方通り継続服用されており治療効果の指標に特段の懸念はない｜定期的な血液検査等の経過を含め体調に変化なく安定している
6169,主として抗酸菌に作用するもの,服薬アドヒアランス良好であり飲み忘れなく継続できている｜自覚症状の変化なく副作用の発現も認められない｜処方通り継続服用されており治療効果の指標に特段の懸念はない｜定期的な血液検査等の経過を含め体調に変化なく安定している
6173,主としてカビに作用するもの,患部のかゆみや赤みの改善が見られ治療は順調に経過している｜塗布後の皮膚刺激感や発赤などの皮膚症状は認められず継続に問題なし｜塗り忘れなく継続できており症状は良好に推移している｜患部の状態は落ち着いており副作用の訴えもなく経過良好である
6179,主としてカビに作用するもの,患部のかゆみや赤みの改善が見られ治療は順調に経過している｜塗布後の皮膚刺激感や発赤などの皮膚症状は認められず継続に問題なし｜塗り忘れなく継続できており症状は良好に推移している｜患部の状態は落ち着いており副作用の訴えもなく経過良好である
6191,その他の抗生物質製剤,下痢や腹痛などの消化器症状の出現なく順調に服用できている｜発疹や痒み等の過敏症状の出現なく経過良好｜飲み忘れなく用法通り服用されており症状の改善が見られる｜症状の寛解に向けて指示通り服用を継続できている
6199,その他の抗生物質製剤,下痢や腹痛などの消化器症状の出現なく順調に服用できている｜発疹や痒み等の過敏症状の出現なく経過良好｜飲み忘れなく用法通り服用されており症状の改善が見られる｜症状の寛解に向けて指示通り服用を継続できている
6212,サルファ剤,感染症症状の改善傾向を確認し継続使用の必要性を判断した｜発疹や薬疹などの皮膚症状が出現していないことを確認した｜副作用による消化器症状の訴えはなく問題なく服用されている｜アレルギー歴を再確認し重篤な副作用の発現がないことを確認した
6219,サルファ剤,感染症症状の改善傾向を確認し継続使用の必要性を判断した｜発疹や薬疹などの皮膚症状が出現していないことを確認した｜副作用による消化器症状の訴えはなく問題なく服用されている｜アレルギー歴を再確認し重篤な副作用の発現がないことを確認した
6221,抗結核剤,長期間の服用が必要となるため、アドヒアランス低下を防ぐべく服薬継続の重要性について再確認した｜自覚症状としての肝機能障害を示唆する倦怠感や食欲不振はなく経過は良好である｜耐性菌を防ぐために定められた用法用量を遵守し、飲み忘れがないことを確認した｜結核の治療は中断がリスクとなるため、残薬調整を行いながら確実に服用を継続するよう指導した
6222,抗結核剤,長期間の服用が必要となるため、アドヒアランス低下を防ぐべく服薬継続の重要性について再確認した｜自覚症状としての肝機能障害を示唆する倦怠感や食欲不振はなく経過は良好である｜耐性菌を防ぐために定められた用法用量を遵守し、飲み忘れがないことを確認した｜結核の治療は中断がリスクとなるため、残薬調整を行いながら確実に服用を継続するよう指導した
6223,抗結核剤,長期間の服用が必要となるため、アドヒアランス低下を防ぐべく服薬継続の重要性について再確認した｜自覚症状としての肝機能障害を示唆する倦怠感や食欲不振はなく経過は良好である｜耐性菌を防ぐために定められた用法用量を遵守し、飲み忘れがないことを確認した｜結核の治療は中断がリスクとなるため、残薬調整を行いながら確実に服用を継続するよう指導した
6224,抗結核剤,長期間の服用が必要となるため、アドヒアランス低下を防ぐべく服薬継続の重要性について再確認した｜自覚症状としての肝機能障害を示唆する倦怠感や食欲不振はなく経過は良好である｜耐性菌を防ぐために定められた用法用量を遵守し、飲み忘れがないことを確認した｜結核の治療は中断がリスクとなるため、残薬調整を行いながら確実に服用を継続するよう指導した
6225,抗結核剤,長期間の服用が必要となるため、アドヒアランス低下を防ぐべく服薬継続の重要性について再確認した｜自覚症状としての肝機能障害を示唆する倦怠感や食欲不振はなく経過は良好である｜耐性菌を防ぐために定められた用法用量を遵守し、飲み忘れがないことを確認した｜結核の治療は中断がリスクとなるため、残薬調整を行いながら確実に服用を継続するよう指導した
6239,抗らい剤,皮膚の異常やしびれなどの症状なく経過良好｜神経症状の増悪や新たな随伴症状なく服用を継続できている｜定期的な検査値の推移に異常なく服薬による治療効果を確認｜感覚障害や知覚低下の兆候は見られず病状は安定している
6241,合成抗菌剤,抗菌薬の服用による消化器症状の出現はなく経過良好｜指示通りの全量服用ができており治療効果を期待する｜アレルギー歴や皮膚の発疹等の副作用症状は認められない｜症状改善に伴う自己判断での中断はせず処方期間の完遂を指導済み
6249,合成抗菌剤,抗菌薬の服用による消化器症状の出現はなく経過良好｜指示通りの全量服用ができており治療効果を期待する｜アレルギー歴や皮膚の発疹等の副作用症状は認められない｜症状改善に伴う自己判断での中断はせず処方期間の完遂を指導済み
6250,抗ウイルス剤,症状の増悪や皮疹等の副作用なく経過良好｜用法用量通り服用できており飲み忘れなし｜体調の大きな変化なく継続使用に問題なし｜副作用等の自覚症状の訴えなく服用継続中
6290,その他の化学療法剤,自覚症状なく経過良好であり継続使用に問題なし｜用法用量を遵守し問題なく継続できている｜特段の副作用症状は認められず安定して服用継続中｜体調変化の訴えなく化学療法剤としての服用を継続できている
6311,駆虫剤,駆虫薬服用後の腹痛や下痢などの消化器症状の訴えなし｜服薬後の体調変化はなく順調に経過している｜服用方法の確認を行い用法通り服用されていることを確認｜指示通り服用され特段の副作用の自覚症状なし
6313,駆虫剤,駆虫薬服用後の腹痛や下痢などの消化器症状の訴えなし｜服薬後の体調変化はなく順調に経過している｜服用方法の確認を行い用法通り服用されていることを確認｜指示通り服用され特段の副作用の自覚症状なし
6322,抗原虫剤,下痢や腹痛などの消化器症状の発現はなく服用を継続できている｜用法用量を守り指示通りに服薬し治療が順調に経過している｜飲み忘れなく服用が継続されており症状の改善が確認できている｜現在の服薬状況に問題はなく自覚症状も消失し経過良好である
6331,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
6341,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
6342,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
6343,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
6349,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
6391,その他の寄生動物用薬,痒みや皮膚症状の悪化は見られず治療経過は順調である｜用法用量を遵守し問題なく継続できている｜患部の赤みや腫れなど異常は見られず経過は良好である｜副作用の訴えなく計画通りに治療が進行している
6393,その他の寄生動物用薬,痒みや皮膚症状の悪化は見られず治療経過は順調である｜用法用量を遵守し問題なく継続できている｜患部の赤みや腫れなど異常は見られず経過は良好である｜副作用の訴えなく計画通りに治療が進行している
6399,その他の寄生動物用薬,痒みや皮膚症状の悪化は見られず治療経過は順調である｜用法用量を遵守し問題なく継続できている｜患部の赤みや腫れなど異常は見られず経過は良好である｜副作用の訴えなく計画通りに治療が進行している
6415,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
6419,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
6422,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
6424,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
6428,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
6429,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
7111,Ｘ線造影剤,検査直前の服用方法を確認し指示通り実施されている｜副作用の兆候なく予定通り検査実施へ移行｜服用タイミングの誤りなく指示通りの検査準備ができている｜消化器症状等の自覚症状はなく検査当日を迎えられている
7112,Ｘ線造影剤,検査直前の服用方法を確認し指示通り実施されている｜副作用の兆候なく予定通り検査実施へ移行｜服用タイミングの誤りなく指示通りの検査準備ができている｜消化器症状等の自覚症状はなく検査当日を迎えられている
7113,Ｘ線造影剤,検査直前の服用方法を確認し指示通り実施されている｜副作用の兆候なく予定通り検査実施へ移行｜服用タイミングの誤りなく指示通りの検査準備ができている｜消化器症状等の自覚症状はなく検査当日を迎えられている
7119,Ｘ線造影剤,検査直前の服用方法を確認し指示通り実施されている｜副作用の兆候なく予定通り検査実施へ移行｜服用タイミングの誤りなく指示通りの検査準備ができている｜消化器症状等の自覚症状はなく検査当日を迎えられている
7121,機能検査用試薬,検査前の服用手順を再確認し、指示通りの時間で確実に服用できている｜検査当日の体調不良や副作用の訴えはなく、予定通り検査を実施できる状態である｜検査のための服薬について理解が得られており、飲み忘れなく適切に服用できている｜検査に伴う特異的な体調変化の訴えはなく、経過は良好である
7122,機能検査用試薬,検査前の服用手順を再確認し、指示通りの時間で確実に服用できている｜検査当日の体調不良や副作用の訴えはなく、予定通り検査を実施できる状態である｜検査のための服薬について理解が得られており、飲み忘れなく適切に服用できている｜検査に伴う特異的な体調変化の訴えはなく、経過は良好である
7123,機能検査用試薬,検査前の服用手順を再確認し、指示通りの時間で確実に服用できている｜検査当日の体調不良や副作用の訴えはなく、予定通り検査を実施できる状態である｜検査のための服薬について理解が得られており、飲み忘れなく適切に服用できている｜検査に伴う特異的な体調変化の訴えはなく、経過は良好である
7129,機能検査用試薬,検査前の服用手順を再確認し、指示通りの時間で確実に服用できている｜検査当日の体調不良や副作用の訴えはなく、予定通り検査を実施できる状態である｜検査のための服薬について理解が得られており、飲み忘れなく適切に服用できている｜検査に伴う特異的な体調変化の訴えはなく、経過は良好である
7131,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
7134,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
7139,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
7142,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
7143,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
7149,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
7190,その他の診断用薬,検査当日の体調に変化なく予定通り使用できている｜使用後のアレルギー反応や体調不良などの訴えなく経過良好｜用法用量を誤ることなく適切に使用されている｜診断用薬としての使用前後において明らかな自覚症状の変化は見られない
7211,一般検査用試薬,検査キットの操作手順について再確認し、手順通りに実施できていることを確認した｜検体の採取方法について不明な点はなく、適切に実施できている｜検査結果の解釈やその後の対応について説明し、理解を得た｜検査薬の使用期限に問題なく、適切に保管されていることを確認した
7212,一般検査用試薬,検査キットの操作手順について再確認し、手順通りに実施できていることを確認した｜検体の採取方法について不明な点はなく、適切に実施できている｜検査結果の解釈やその後の対応について説明し、理解を得た｜検査薬の使用期限に問題なく、適切に保管されていることを確認した
7213,一般検査用試薬,検査キットの操作手順について再確認し、手順通りに実施できていることを確認した｜検体の採取方法について不明な点はなく、適切に実施できている｜検査結果の解釈やその後の対応について説明し、理解を得た｜検査薬の使用期限に問題なく、適切に保管されていることを確認した
7214,一般検査用試薬,検査キットの操作手順について再確認し、手順通りに実施できていることを確認した｜検体の採取方法について不明な点はなく、適切に実施できている｜検査結果の解釈やその後の対応について説明し、理解を得た｜検査薬の使用期限に問題なく、適切に保管されていることを確認した
7219,一般検査用試薬,検査キットの操作手順について再確認し、手順通りに実施できていることを確認した｜検体の採取方法について不明な点はなく、適切に実施できている｜検査結果の解釈やその後の対応について説明し、理解を得た｜検査薬の使用期限に問題なく、適切に保管されていることを確認した
7223,血液検査用試薬,検査結果の活用について理解されており、今回の測定も指示通り実施予定｜検査前の食事制限や服用注意点について確認済みであり、順守の意志が認められる｜検査に関する不安や体調不良の訴えはなく、スムーズに実施予定である｜次回の通院に向けた手順について認識されており、問題なく継続される見込みである
7224,血液検査用試薬,検査結果の活用について理解されており、今回の測定も指示通り実施予定｜検査前の食事制限や服用注意点について確認済みであり、順守の意志が認められる｜検査に関する不安や体調不良の訴えはなく、スムーズに実施予定である｜次回の通院に向けた手順について認識されており、問題なく継続される見込みである
7225,血液検査用試薬,検査結果の活用について理解されており、今回の測定も指示通り実施予定｜検査前の食事制限や服用注意点について確認済みであり、順守の意志が認められる｜検査に関する不安や体調不良の訴えはなく、スムーズに実施予定である｜次回の通院に向けた手順について認識されており、問題なく継続される見込みである
7229,血液検査用試薬,検査結果の活用について理解されており、今回の測定も指示通り実施予定｜検査前の食事制限や服用注意点について確認済みであり、順守の意志が認められる｜検査に関する不安や体調不良の訴えはなく、スムーズに実施予定である｜次回の通院に向けた手順について認識されており、問題なく継続される見込みである
7290,その他の体外診断用医薬品,検査キットの使用方法を改めて確認し、手順通りに実施できていることを確認した｜検体採取時の異常や操作ミス等のトラブルなく測定できている｜判定結果に基づき適切に受診等の対応がとられている｜検査結果に対する不安な様子はなく、正しく自己管理できている
7311,防腐剤,使用部位の皮膚トラブルや刺激感の訴えなく経過良好｜用法用量を遵守し適切に使用できていることを確認｜適用部位の赤みやかゆみ等の副作用症状なく使用継続中｜本剤の使用に伴う不快感などの自覚症状はなく問題なし
7319,防腐剤,使用部位の皮膚トラブルや刺激感の訴えなく経過良好｜用法用量を遵守し適切に使用できていることを確認｜適用部位の赤みやかゆみ等の副作用症状なく使用継続中｜本剤の使用に伴う不快感などの自覚症状はなく問題なし
7451,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
7990,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
8112,アヘンアルカロイド系麻薬,便秘や眠気などの副作用の発現はなく経過良好である｜麻薬の定期服用により疼痛は安定しており日常生活に支障ない状態である｜用法用量を遵守し過量服用の兆候はなく適切に使用されている｜吐き気やめまいなどの自覚症状なく忍容性に問題なし
8113,アヘンアルカロイド系麻薬,便秘や眠気などの副作用の発現はなく経過良好である｜麻薬の定期服用により疼痛は安定しており日常生活に支障ない状態である｜用法用量を遵守し過量服用の兆候はなく適切に使用されている｜吐き気やめまいなどの自覚症状なく忍容性に問題なし
8114,アヘンアルカロイド系麻薬,便秘や眠気などの副作用の発現はなく経過良好である｜麻薬の定期服用により疼痛は安定しており日常生活に支障ない状態である｜用法用量を遵守し過量服用の兆候はなく適切に使用されている｜吐き気やめまいなどの自覚症状なく忍容性に問題なし
8115,アヘンアルカロイド系麻薬,便秘や眠気などの副作用の発現はなく経過良好である｜麻薬の定期服用により疼痛は安定しており日常生活に支障ない状態である｜用法用量を遵守し過量服用の兆候はなく適切に使用されている｜吐き気やめまいなどの自覚症状なく忍容性に問題なし
8119,アヘンアルカロイド系麻薬,便秘や眠気などの副作用の発現はなく経過良好である｜麻薬の定期服用により疼痛は安定しており日常生活に支障ない状態である｜用法用量を遵守し過量服用の兆候はなく適切に使用されている｜吐き気やめまいなどの自覚症状なく忍容性に問題なし
8121,コカアルカロイド系麻薬,疼痛コントロールは安定しており麻薬特有の副作用の出現も認められない｜眠気や便秘などの副作用の発現はなく服用継続に問題なし｜用法用量を遵守し適切に使用されており良好な経過である｜悪心や嘔吐などの消化器症状の訴えなく服用を継続できている
8211,覚せい剤,処方通り用法用量を遵守し継続できている｜依存性や乱用防止について再確認し指示通り服用できている｜過量服用の兆候はなく精神状態も安定している｜副作用による身体的変化は見られず服薬継続に支障なし
8219,覚せい剤,処方通り用法用量を遵守し継続できている｜依存性や乱用防止について再確認し指示通り服用できている｜過量服用の兆候はなく精神状態も安定している｜副作用による身体的変化は見られず服薬継続に支障なし
