成分コード,意味,服薬指導文章
5200074,小柴胡湯加桔梗石膏エキス,咽頭の腫れや痛みの改善状況を確認した｜食前に服用することで吸収効率を高めるよう指導した｜胃腸への負担がなく継続できていることを確認した
5200075,小青竜湯エキス,鼻水や鼻づまりの症状緩和を確認した｜眠気の副作用がないことを確認した｜継続的な服用による症状の改善傾向を認めた
5200076,小半夏加茯苓湯エキス,つわりに伴う悪心・嘔吐の軽減を確認した｜服用後の胃部不快感の有無を聴取した｜症状に応じて頓服・常用を使い分けるよう指導した
5200077,消風散エキス,皮膚の痒みや湿疹の改善状況を観察した｜発疹の増悪がないことを確認した｜長期服用による消化器症状の有無を定期的に確認する方針とした
5200078,升麻葛根湯エキス,初期の感冒症状の改善を確認した｜発汗の様子を観察した｜症状が消失した段階での服用終了を指導した
5200079,四苓湯,浮腫や口渇の改善状況を確認｜水分代謝の乱れによる症状の軽減を確認｜服用による胃腸不快感の有無を観察
5200080,辛夷清肺湯エキス,鼻閉・鼻汁の症状改善を評価｜長期服用による胃腸障害の有無を確認｜服用後の鼻腔内の乾燥感について聴取
5200081,参蘇飲エキス,感冒初期症状の軽快を確認｜胃腸の調子に影響が出ていないか確認｜服用による体温調節や発汗状況を評価
5200082,神秘湯エキス,喘鳴・呼吸状態の改善を確認｜服用による動悸や食欲不振の有無を観察｜継続服用による気管支症状の安定を評価
5200083,真武湯エキス,めまい・冷えの自覚症状改善を評価｜服用による浮腫の軽減を確認｜胃腸機能への影響を継続観察
5200084,清上防風湯エキス,面皰の改善傾向を確認｜胃部不快感や食欲不振の有無を継続観察｜皮膚症状の経過と消化器症状の有無をモニタリング
5200085,清暑益気湯エキス,夏バテ症状の改善を確認｜食欲低下や倦怠感の回復状況を評価｜胃腸への負担がなく継続できていると判断
5200086,清心蓮子飲エキス,排尿困難や残尿感の軽減を確認｜口渇の変化をモニタリング｜長期服用に伴う消化器症状の有無を観察
5200087,清肺湯エキス,咳嗽や痰の改善状況を確認｜呼吸器症状の軽減を確認済み｜胃腸症状の発現がないことを確認
5200088,川きゅう茶調散エキス,頭痛の頻度と強度の低下を確認｜頓用での効果発現状況を評価｜服用後の体調変化と経過をモニタリング
5200089,疎経活血湯エキス,関節痛や神経痛の改善傾向を確認｜胃腸障害の有無を継続観察｜服用後の身体の温まり具合を確認
5200090,大黄甘草湯エキス,排便状況の変化を確認｜腹痛や下痢の有無を観察｜短期的な便秘解消への有効性を評価
5200091,大黄牡丹皮湯エキス,下腹部痛や圧痛の改善状況を確認｜便通改善に伴う症状緩和を確認｜月経困難症等の随伴症状を観察
5200092,大建中湯エキス,腹部冷えや腹部膨満感の改善を確認｜排便回数や便の性状を観察｜腹部温感維持による症状安定を評価
5200093,大柴胡湯エキス,便秘や腹部圧痛の改善を確認｜食欲不振や心窩部不快感の有無を観察｜体格と体質に応じた効果持続性を評価
5200094,大柴胡湯去大黄エキス,腹部膨満感の改善を確認し継続処方とする｜便秘傾向の改善が見られ順調に推移している｜食欲不振の改善と全身状態の安定を確認した
5200095,大承気湯エキス,排便回数の増加を確認し用量調整の必要はないと判断する｜腹部症状の軽減に伴い継続使用の方針とする｜下痢症状の有無を確認し服薬量の調節を指導した
5200096,大防風湯エキス,関節痛の緩和が認められ治療効果を確認した｜冷えや痺れの改善傾向が見られ経過観察とする｜長期服用に伴う消化器症状の発現はなく継続可能と判断した
5200097,竹じょ温胆湯エキス,咳嗽および痰の排出状況が改善しており継続処方とする｜精神的な不安感や不眠の軽減を確認した｜胃部不快感の出現はなく服薬継続可能と判断した
5200098,治打撲一方エキス,打撲部位の腫脹と疼痛の軽減を確認した｜外傷後の血行改善と回復傾向が良好である｜服用後の消化器系への副作用発現はなく経過観察とする
5200099,治頭瘡一方エキス,湿疹や皮膚の炎症症状の改善状況を確認した｜患部の状態変化と服用による消化器症状の有無を追跡した｜皮膚症状の軽減が見られ、継続的な服用による経過観察を行う
5200100,調胃承気湯エキス,便秘や腹部膨満感の改善傾向を確認した｜服用後の排便状況を把握し、腹部症状の推移を監視した｜消化器症状の改善を認め、処方意図に基づき服用継続を指導した
5200101,釣藤散エキス,慢性的な頭痛やめまいの頻度および程度を確認した｜血圧測定値の推移と自覚症状の変化を評価した｜起床時の頭重感の軽減が見られ、服薬の継続による経過観察を行う
5200102,腸癰湯エキス,腹痛および炎症症状の経過を確認した｜腹部の違和感の有無を聴取し、症状の推移を監視した｜腹部症状の軽快を認め、処方期間中の体調管理を継続する
5200103,猪苓湯エキス,排尿時の痛みや残尿感の改善状況を確認した｜水分摂取状況と排尿回数の変化を評価した｜排尿症状の緩和が見られ、再発防止を含めた服用継続を指導した
5200104,猪苓湯合四物湯エキス,排尿痛や残尿感の改善を確認｜胃腸症状の出現がないか経過観察｜長期服用時の浮腫の有無を確認
5200105,通導散エキス,月経不順や骨盤内の血行改善効果を確認｜便通の状況を聴取し調整｜下痢の有無を確認し連用を判断
5200106,桃核承気湯エキス,便秘の解消状況を確認｜のぼせや精神不安の軽減を確認｜腹痛や下痢の副作用がないか継続観察
5200107,当帰湯エキス,冷えや関節痛の緩和状況を確認｜食欲不振の有無を聴取｜体力回復の経過を確認
5200108,当帰飲子エキス,皮膚の乾燥や痒みの軽減を確認｜胃部不快感がないか聞き取り｜長期服用による皮膚状態の推移を評価
5200109,当帰建中湯エキス,虚弱体質の改善状況を確認｜腹痛や疲労感の緩和を確認｜消化器症状の発現なきこと確認
5200110,当帰四逆加呉茱萸生姜湯エキス,冷え性の改善経過を評価｜手足の血流改善を確認｜頭痛や腹痛の随伴症状の推移を確認
5200111,当帰芍薬散エキス,貧血症状の改善傾向を確認｜むくみや冷えの自覚症状の変化を評価｜体調維持のための服用継続を確認
5200112,当帰芍薬散加附子エキス,寒冷に伴う症状の緩和を確認｜附子配合による温補効果の経過を評価｜消化器系への負担なきこと確認
5200113,二朮湯エキス,関節痛や神経痛の改善経過を確認｜患部のこわばりや痛みの変化を評価｜長期服用に伴う消化器症状の有無を確認
5200114,二陳湯エキス,痰の排出状態を継続確認する｜胃腸症状の出現がないか経過観察する｜服用後の体調変化に注意を促す
5200115,女神散エキス,イライラや不安感の改善状況を注視する｜月経不順や更年期症状の推移を確認する｜食欲不振の有無を継続評価する
5200116,人参湯エキス,腹痛や下痢の兆候がないか確認する｜胃部不快感の改善状況を観察する｜継続服用による体調維持を確認する
5200117,人参養栄湯エキス,倦怠感の軽減および意欲の状態を確認する｜皮膚の乾燥や栄養状態の経過を追う｜食欲改善の推移を継続観察する
5200118,排膿散及湯エキス,患部の腫れや痛みの改善状況を評価する｜膿の排出状態を継続確認する｜消化器症状の出現がないか注意を払う
5200119,麦門冬湯エキス,咳の頻度が減少傾向にあるため継続投与とする｜痰の切れにくさに変化がないか経過観察する｜服用後の胃部不快感等の副作用は認められない
5200120,八味丸エキス,夜間頻尿の回数改善を確認し継続投与とする｜胃腸症状の出現がないか注意深く観察する｜下肢の浮腫に対する効果を確認し継続する
5200120,八味丸,冷えの症状緩和を確認し継続投与とする｜便秘等の消化器症状の有無を追跡する｜倦怠感の改善傾向が見られ継続投与が妥当である
5200121,八味地黄丸エキス,腰痛の軽快を確認し長期処方とする｜のぼせや胃もたれの副作用が生じていないことを確認した｜体調の変化がないため継続的な内服を推奨する
5200122,半夏厚朴湯エキス,喉のつかえ感の改善を認め継続投与とする｜精神的な緊張緩和に有効であり服薬継続とする｜服用後の眠気や不快感はなく経過良好である
5200123,半夏瀉心湯エキス,胃腸症状の改善傾向を確認｜食欲不振や軟便の有無を継続観察｜服用後の胃部不快感の消失を確認
5200124,半夏白朮天麻湯エキス,めまい症状の頻度を確認｜頭重感の改善傾向を評価｜消化器症状の悪化がないことを確認
5200125,白虎加人参湯エキス,口渇および熱感の軽減を確認｜多汗症状の改善を評価｜服用後の胃部不快感の有無を観察
5200126,茯苓飲エキス,食欲不振の改善を確認｜胃のつかえ感の軽減を評価｜服用による胃腸機能の回復を確認
5200127,茯苓飲合半夏厚朴湯エキス,胃部の停滞感と喉のつかえ感の改善を評価｜自律神経症状の軽減を確認｜消化器症状の変化を継続観察
5200128,平胃散エキス,胃腸の不快感や食欲不振の改善傾向を確認｜胃部膨満感に対して継続的な服薬の有効性を判断｜服用後の胃部不快感の消失を確認済み
5200129,防已黄耆湯エキス,浮腫や関節痛の症状緩和と水分代謝の改善を確認｜長期間の服用に伴う体調の変化と消化器症状の有無を観察｜体重管理と浮腫の軽減効果を継続評価
5200130,防風通聖散エキス,便秘の解消と腹部脂肪の減少状況を継続評価｜高血圧や動悸などの副作用発現の有無を監視｜服用による排便回数の増加と代謝改善の効果を確認
5200131,補中益気湯エキス,全身倦怠感の改善と疲労回復効果を評価｜食欲の増進と体力回復の経過を継続観察｜虚弱体質に対する補気作用の有効性を確認
5200132,麻黄湯エキス,感冒初期症状の消失を確認し服用終了を判断｜悪寒・発熱の改善過程と発汗状況を評価｜胃腸障害等の副作用発現がないことを確認
5200133,麻黄附子細辛湯エキス,麻黄・附子による副作用（動悸、のぼせ）の兆候なし｜服用により体調の改善傾向を確認｜食間服用が継続できていることを確認
5200134,麻杏甘石湯エキス,麻黄による胃部不快感や動悸等の自覚症状なし｜喘息様症状の軽減を確認｜服用タイミングの定着と効果発現を評価
5200135,麻杏よく甘湯エキス,麻黄による不眠・動悸の発生を認めず｜関節痛の緩和効果が継続中｜継続服用の意欲と体調の変化を確認
5200136,麻子仁丸エキス,便通状況の改善を認める｜下痢などの過剰反応なし｜長期服用による電解質異常の兆候なし
5200137,木防已湯エキス,浮腫の改善傾向を確認｜麻黄含有に伴う副作用の発生なし｜自覚症状の変化に基づき服用の継続性を評価
5200138,よく苡仁湯エキス,肌荒れ等の症状を確認し継続服用を推奨｜消化器症状の有無を確認し服用継続｜体調に変化なく同量で継続
5200139,抑肝散エキス,イライラや不眠の改善傾向を確認｜服用後の眠気や胃部不快感の有無を聴取｜症状の安定を確認し継続服用を指導
5200140,抑肝散加陳皮半夏エキス,精神的落ち着きと胃腸症状の改善を確認｜吐き気や食欲不振の改善状況を把握｜服用後の体調変化に異常なく継続
5200141,六君子湯エキス,食欲の改善および胃もたれの軽減を確認｜空腹時の服用継続を改めて確認｜胃部症状が改善傾向にあり継続を勧める
5200142,竜胆瀉肝湯エキス,排尿時痛や残尿感の改善を確認｜胃腸障害等の副作用が出現していないか確認｜症状の沈静化を確認し処方通り継続
5200143,苓甘姜味辛夏仁湯エキス,気管支炎や喘息の症状改善を確認｜胃腸虚弱の有無と服用後の胃部不快感の有無を聴取｜冷えの改善状況を観察
5200144,苓姜朮甘湯エキス,腰痛の程度と経過を観察｜冷えによる症状の悪化傾向を把握｜胃腸障害等の副作用発現なしを確認
5200145,苓桂朮甘湯エキス,めまい・ふらつきの改善状況を聴取｜動悸の有無と症状の推移を確認｜のぼせ等の体調変化を観察
5200146,六味丸エキス,排尿困難や口渇等の症状推移を評価｜全身の疲労感や倦怠感の改善度を観察｜消化器症状の有無を継続確認
5200147,六味地黄丸エキス,腎虚による諸症状の改善状況を確認｜長期間服用における胃腸症状の耐容性を評価｜残尿感や頻尿の経過を観察
5200148,附子人参湯エキス,胃腸症状の出現がないか経過を確認｜食後の胃部不快感や食欲不振の有無を聴取｜体が温まる感覚や冷えの改善状況を観察
5200149,立効散エキス,歯痛や口腔内の不快感の軽減状況を確認｜口内炎の有無や粘膜の状態を把握｜服用後の痺れや違和感がないか経過観察
5900001,ブシ末,動悸やのぼせなどの副作用発現を注視｜冷えによる疼痛の緩和状態を評価｜服用後の体調変化について継続観察
5900002,ブシ末,胃腸障害の有無を定期的に確認｜症状改善に伴う冷えの自覚症状を評価｜心血管系への影響がないか副作用をモニタリング
5900003,ヨクイニンエキス,皮膚症状の改善度合いを確認｜イボや肌荒れの状態変化を観察｜長期間の服用に伴う胃腸への影響を継続評価
5900004,ブシ末,のぼせ・口唇のしびれ等の副作用出現がないか確認。冷えの改善状況を注視｜動悸や息切れの有無を確認。継続服用による体調変化を観察｜舌のしびれ感の有無を指導。症状の経過とともに継続服用を継続指導
6111002,ベンジルペニシリンベンザチン水和物,注射部位の疼痛や腫脹の有無を確認。アナフィラキシー徴候を念のため聴取｜過敏症反応の出現がないか経過観察。既往歴を含めたアレルギー歴の再確認を実施｜注射後の異常発熱や発疹の有無を確認。全身状態の良好さを評価
6111400,ベンジルペニシリンカリウム,投与後のアレルギー症状の発現がないか聴取。副作用の早期発見に努める｜呼吸困難感や蕁麻疹の有無を確認。速やかな医療機関への連絡を徹底指導｜発熱や発疹等の過敏症状の有無を観察。治療経過に合わせてフォローアップを実施
6111403,ベンジルペニシリンベンザチン水和物,局所の腫脹や疼痛の有無を確認。アナフィラキシー症状の出現を注意深く監視｜アレルギー既往歴を再確認。副作用出現時の緊急対応手順を説明済み｜投与後の全身的な過敏症の有無を確認。経過順調として継続を確認
6112001,クリンダマイシン塩酸塩,下痢や腹痛の有無を確認。偽膜性腸炎の徴候がないか経過観察｜服薬後の胃部不快感の有無を聴取。症状の改善とともに飲み忘れがないか確認｜発疹等の皮膚症状の出現がないか確認。副作用報告の有無を継続的に観察
6112003,リンコマイシン塩酸塩水和物,下痢や腹痛の有無を確認済み。副作用発現時は直ちに連絡するよう指導。｜重篤な下痢は偽膜性大腸炎の疑いがあるため、症状出現時は受診を推奨。｜腸管内微生物叢の変化による下痢の可能性について説明済み。
6112400,リンコマイシン塩酸塩水和物,症状の改善状況を確認。継続的な服用による下痢の副作用発現に注意を促す。｜便の状態に異常がないか確認済み。異変があれば即時中止し連絡するよう指示。｜服用中の腹痛や下痢の有無を聴取。自覚症状がないことを確認。
6112401,クリンダマイシンリン酸エステル,下痢・腹痛の副作用発現に注意を促し、症状時は早急な受診を勧奨。｜偽膜性大腸炎のリスクを考慮し、排便回数の増加や血便がないか継続観察を行う。｜服用による消化器症状の有無を確認。自覚症状がないことを確認済み。
6113001,バンコマイシン塩酸塩,腎機能低下時は血中濃度上昇のリスクがあるため、定期的なモニタリングを推奨。｜レッドマン症候群のリスクを考慮し、投与後の皮膚症状や発赤に注意を促す。｜聴覚障害の徴候がないか確認済み。違和感があれば速やかに医師へ相談するよう指導。
6113400,バンコマイシン塩酸塩,腎機能検査値を確認。副作用の徴候として聴力低下や皮膚症状の有無を聴取。｜定期的な血中濃度測定の重要性を説明。発熱や発疹等の異常がないか確認済み。｜副作用に対する注意喚起を実施。腎機能に応じた適正使用の必要性を確認。
6113700,バンコマイシン塩酸塩,副作用の赤ら顔や血圧低下の兆候なし｜聴力やめまいに異常なく継続使用可能｜腎機能推移を注視しTDM結果を確認済み
6119001,フィダキソマイシン,下痢の改善傾向を確認｜消化器症状の悪化なく服用継続中｜便回数減少し薬物治療の効果が認められる
6119400,アルベカシン硫酸塩,聴覚障害の自覚症状なく経過良好｜腎機能指標の変化に留意し慎重投与中｜血中濃度モニタリング結果に基づき用量妥当と判断
6119401,テイコプラニン,発熱や皮疹等の過敏症反応は見られない｜注射部位の腫脹や疼痛なし｜腎機能への影響は軽微であり治療継続可能
6119402,ダプトマイシン,筋肉痛や脱力の訴えなくCK値推移を確認｜呼吸器症状の増悪なし｜肝機能検査値の変動に留意し継続投与とする
6119700,ムピロシンカルシウム水和物,患部を清潔にしてから塗布するよう指導し、症状の改善傾向を確認した。｜使用後の発赤や痒み等の過敏症状の有無を観察する方針とした。｜長期連用による耐性菌発現のリスクを説明し、指示通りの期間で終了するよう指導した。
6122400,アズトレオナム,注射後の局所反応や発疹等のアレルギー症状に注意し、経過を注視する。｜肝機能値および腎機能値の変動がないか、定期的な血液検査結果を確認する。｜投与部位の疼痛や腫脹の有無について聞き取りを実施した。
6123003,カナマイシン一硫酸塩,聴覚障害や平衡機能障害の初期症状に留意し、経過を慎重に観察する。｜腎機能低下時の用量調整の必要性について、検査値を考慮し判断する。｜副作用の兆候としてめまいや耳鳴りがないか患者に確認した。
6123401,トブラマイシン,点眼後の眼周囲の痒みや赤みなどの過敏症状は認められず使用継続に問題なし｜結膜充血や眼刺激感などの副作用症状の発現なく適切に使用できている｜眼圧や視機能への異常な変化の訴えなく計画通り継続中｜継続使用による眼部への不快感や異常な充血等なく順調に経過している
6123402,アミカシン硫酸塩,腎機能障害の有無を確認し、血中濃度モニタリングが必要な症例か評価する。｜投与後の耳毒性や腎毒性の自覚症状の有無を確認する方針とした。｜水分摂取を促し、排泄を助けるよう患者へ指導した。
6123404,イセパマイシン硫酸塩,他剤との併用による腎・聴器毒性の増強に留意し、継続観察を行う。｜自覚症状としての耳閉感やめまいの有無を確認し、安全性に配慮する。｜患者の腎機能推移を把握し、副作用発現の兆候を注視する。
6123700,トブラマイシン,点眼後の眼周囲の痒みや赤みなどの過敏症状は認められず使用継続に問題なし｜結膜充血や眼刺激感などの副作用症状の発現なく適切に使用できている｜眼圧や視機能への異常な変化の訴えなく計画通り継続中｜継続使用による眼部への不快感や異常な充血等なく順調に経過している
6124400,スペクチノマイシン塩酸塩水和物,投与後のアレルギー症状の有無を確認｜注射部位の腫脹や疼痛の経過を観察｜排尿時の症状変化について聴取
6125001,コリスチンメタンスルホン酸ナトリウム,腎機能値の推移に注意を払う｜神経学的症状の出現がないか観察｜呼吸状態の変化を継続的に確認
6125400,コリスチンメタンスルホン酸ナトリウム,腎機能検査値のモニタリングを継続｜副作用の初期症状の有無を確認｜呼吸抑制の徴候がないか注視
6126001,ポリミキシンＢ硫酸塩,皮膚または粘膜の異常の有無を確認｜投与部位の刺激感について観察｜腎機能障害の兆候を定期的に確認
6129400,チゲサイクリン,悪心・嘔吐の程度を確認し耐容性を評価｜膵炎を示唆する腹部症状の有無を観察｜肝機能検査値の推移を注視
6129401,セフィデロコルトシル酸塩硫酸塩水和物,注射薬のため投与後のアレルギー反応や副作用の有無を継続観察する｜投与部位の局所反応および消化器症状の出現がないか確認を継続する｜腎機能に応じた用量調整が適切になされているか臨床検査値を確認する
6129500,レレバクタム水和物・イミペネム水和物・シラスタチンナトリウム,イミペネムによる痙攣等の精神神経系症状の有無を重点的に確認する｜下痢や腹痛などの消化器症状の推移を注視する｜投与中の腎機能推移および臨床検査値の変動を確認する
6131001,アモキシシリン水和物,発疹等のアレルギー徴候がないか服薬状況と併せて確認する｜下痢や軟便の有無を聴取し腸内環境の変化を評価する｜症状の改善状況から残薬と服薬遵守状況を照合する
6131002,アンピシリン水和物,注射薬のため皮膚症状や過敏症の発現がないか経過を注視する｜投与部位の血管痛や炎症の兆候がないか確認する｜臨床検査値の推移から治療効果と安全性を評価する
6131004,バカンピシリン塩酸塩,食後の服用状況を確認し消化器症状の有無をフォローする｜下痢症状の出現がないか排便状況を確認する｜症状の改善に合わせて適切な服用期間であることを再確認する
6131008,スルタミシリントシル酸塩水和物,下痢や軟便の副作用出現がないか確認。発疹等のアレルギー徴候を注視する。｜指示通り全量服用できていることを確認。胃腸障害の有無について継続観察。｜消化器症状の頻発がないか聞き取り。休薬の必要性を判断するため症状を記録。
6131400,アンピシリンナトリウム,静注または筋注後の局所反応の有無を観察。過敏症の兆候がないか経過を追う。｜投与部位の疼痛や腫脹の有無を確認。アナフィラキシー徴候を継続的に監視する。｜処方通りに投与が完了していることを確認。治療効果と副作用の発現状況を評価。
6131403,ピペラシリンナトリウム,腎機能低下時の投与量調節を確認。出血傾向の有無を継続観察する。｜投与部位の炎症や血管痛を確認。アレルギー反応の出現がないか監視する。｜電解質バランスへの影響を確認。定期的なモニタリングが必要であると判断。
6132002,セファレキシン,飲み忘れなく服用できていることを確認。下痢や発疹等の副作用徴候がないか注視。｜感染症の症状改善度を評価。副作用が出現した場合は受診勧奨を検討。｜用法用量を遵守できていることを確認。治療継続の可否について経過観察。
6132005,セファクロル,食欲不振や胃部不快感の有無を確認。症状改善まで完遂できるよう指導。｜発疹の出現がないか注意喚起。副作用が見られないため次回まで経過観察とする。｜治療効果を確認。下痢等の消化器症状が強くないか聞き取りを行い状況を評価。
6132006,セフロキサジン水和物,症状の改善状況を確認｜消化器症状の有無を聴取｜指示通りの服用を確認
6132008,セフィキシム水和物,服用後の症状経過を観察｜副作用の発現がないことを確認｜用法用量遵守の意向を確認
6132009,セフテラム　ピボキシル,胃腸障害の出現に注意｜服用忘れがないよう指導｜症状の推移を注視
6132010,セフロキシム　アキセチル,食後の服用を再確認｜アレルギー歴の再聴取｜体調の変化を継続観察
6132011,セフポドキシム　プロキセチル,飲み残しの有無を確認｜下痢症状の有無を聴取｜服用の意義を改めて説明
6132013,セフジニル,セフェム系抗生剤の服用により下痢等の消化器症状が発現していないか確認｜服用期間中のアレルギー症状の有無を確認｜飲み忘れがないよう確実な服用を指導済み
6132015,セフジトレン　ピボキシル,カルニチン欠乏のリスクを考慮し、長期投与の有無を確認｜下痢や腹痛等の消化器症状の発現状況を観察｜服用期間中は十分な水分摂取を促し経過観察
6132016,セフカペン　ピボキシル塩酸塩水和物,ピボキシル基含有製剤のため、低カルニチン血症の兆候を注視｜副作用としての下痢・軟便の有無を聴取｜指示通りの服用により改善傾向であることを確認
6132400,セフォチアム塩酸塩,注射剤のため、投与部位の局所反応と全身性のアレルギー兆候をモニタリング｜発熱や発疹等の過敏症反応がないか継続確認｜治療経過に基づき副作用の有無を評価
6132401,セファゾリンナトリウム,アナフィラキシー等の過敏症の徴候を重点的に経過観察｜投与後の全身状態に変化がないか確認｜感染徴候の改善と副作用の発現状況を併せて評価
6132401,セファゾリンナトリウム水和物,セフェム系特有の過敏症の既往がないことを確認済み｜服用後の発疹や痒みの出現に注意するよう指導｜消化器症状の有無を聴取し経過観察を継続
6132403,セファロチンナトリウム,投与部位の疼痛や発赤の有無を確認｜アレルギー歴を再確認し異常がないことを記録｜自覚症状の出現がないか注意深く経過を観察
6132408,セフメタゾールナトリウム,アルコール摂取による副作用の可能性を説明済み｜出血傾向の徴候がないか慎重に確認｜肝腎機能の変化を注視し定期的にバイタルを評価
6132409,セフォタキシムナトリウム,投与後の身体状態に変化がないことを確認｜過敏症状および二次的な感染兆候の有無を観察｜治療効果と副作用のバランスを考慮し継続的な服薬指導を行う
6132413,セフメノキシム塩酸塩,発疹や蕁麻疹などのアレルギー症状なく経過良好｜下痢や腹痛などの消化器症状の訴えなく服用継続中｜副作用の兆候を認めず指示通り服用できていることを確認｜発熱や咳などの症状は改善傾向にあり副作用も特段認められない
6132418,セフタジジム水和物,投与後のアレルギー反応の有無を重点的に確認｜副作用の初期症状について患者へ説明し注意喚起｜症状の改善状況を確認し必要に応じて医師へ報告を検討
6132419,セフトリアキソンナトリウム水和物,消化器症状の有無を確認し経過観察｜投与後の皮疹出現に注意し継続観察｜胆泥形成の可能性を考慮し腹部症状を確認
6132422,セフミノクスナトリウム水和物,投与後の過敏症の有無を確認｜消化器症状等の副作用出現状況を観察｜血液検査値の推移に留意して継続
6132425,セフェピム塩酸塩水和物,腎機能に応じた投与量であることを確認｜皮疹や発熱等の過敏症状の有無を観察｜神経学的副作用の兆候に注意して継続
6132426,セフォゾプラン塩酸塩,投与後の過敏症状の出現に留意｜消化器系の副作用の有無を確認し経過観察｜臨床症状の改善状況を確認し継続
6132700,セフチゾキシムナトリウム,過敏症等の副作用発現の有無を確認｜治療経過に応じた症状改善の有無を観察｜血液検査値を含めた安全性を考慮して継続
6133400,ラタモキセフナトリウム,注射剤のため副作用の既往なし｜抗菌薬特有の下痢等の症状確認｜出血傾向の有無を注視
6133401,フロモキセフナトリウム,投与部位の疼痛や腫脹なし｜消化器症状の発現なし｜確実な服用による感染制御を図る
6134400,ジベカシン硫酸塩,聴力低下や耳鳴り等の自覚症状なく経過良好｜めまいやふらつき等の前庭障害の訴えなく使用継続中｜腎機能に影響を及ぼすような特段の変化なく順調｜発疹や掻痒感などの過敏症状の発現もなく経過良好
6134407,ゲンタマイシン硫酸塩,塗布部位の皮膚発赤や腫れなどの過敏症状なく経過良好｜使用開始後の患部のかゆみや熱感などの副作用症状は認められず｜指示通りの使用により患部の炎症所見に改善傾向を認める｜継続使用において特段の皮膚トラブルや刺激感の訴えなし
6135001,ホスホマイシンカルシウム水和物,胃腸障害の発生なし｜水分摂取を促し便通異常の経過を観察｜服用アドヒアランス良好を確認
6135400,ホスホマイシンナトリウム,食後の服用を指導｜症状の改善が見られるまで継続｜副作用の訴えなし｜感染の兆候がないか経過観察
6139001,ファロペネムナトリウム水和物,下痢や腹痛の訴えなし｜感染症の症状改善を継続評価｜服用後の体調変化に異常なし
6139002,テビペネム　ピボキシル,小児特有の副作用発現なし｜カルニチン欠乏への配慮および低血糖の兆候なし｜全量服用による治療効果を確認
6139100,アモキシシリン水和物・クラブラン酸カリウム,下痢や軟便の有無を確認し、腸内細菌叢への影響を観察する。｜食後の服用による胃部不快感の軽減を図り、継続服用を促す。｜発疹等の過敏症の兆候を注意深くモニタリングする。
6139400,メロペネム水和物,投与後の痙攣発現の有無を重点的に確認し、経過を観察する。｜注射剤のため投与部位の疼痛や腫脹の有無を確認する。｜腎機能に基づき、投与量および投与間隔の妥当性を評価する。
6139401,ビアペネム,投与中の神経系副作用の出現状況を継続的にモニタリングする。｜腎機能低下時の用量調整の必要性について評価する。｜感染徴候の改善度合いと治療継続の必要性を確認する。
6139402,ドリペネム水和物,痙攣等の神経障害の兆候がないか慎重に経過を観察する。｜腎機能値を確認し、必要に応じた用法用量の最適化を判断する。｜副作用発現リスクを考慮し、全身状態の変化を継続的に確認する。
6139500,セフォペラゾンナトリウム・スルバクタムナトリウム,出血傾向の兆候を確認し、血液凝固能の変化を注意深く観察する。｜注射部位の炎症や血管痛の有無について確認を行う。｜投与後の臨床検査値の推移から治療効果を評価する。
6139501,イミペネム水和物・シラスタチンナトリウム,投与開始に伴い過敏症発現の有無を注視する｜痙攣等の神経障害の兆候がないか経過観察を行う｜腎機能低下時の投与量調節が適切になされているか確認した
6139503,パニペネム・ベタミプロン,ベタミプロンの腎障害抑制効果を確認しつつ使用する｜投与部位の疼痛や発赤等の局所症状を監視する｜中枢神経系への副作用発現に注意し継続投与を行う
6139504,アンピシリンナトリウム・スルバクタムナトリウム,皮疹等のアレルギー反応の有無を重点的に確認する｜下痢等の消化器症状の出現がないか経過を追う｜肝・腎機能値の変動に留意しつつ投与継続とする
6139505,タゾバクタム・ピペラシリン水和物,出血傾向や凝固能検査値の推移を注視する｜下痢や腹痛といった副作用の兆候を継続観察する｜発疹等の過敏症状の有無を確認し服薬状況を把握した
6139506,セフトロザン硫酸塩・タゾバクタムナトリウム,腎機能に応じた投与量設定の妥当性を評価した｜アナフィラキシー等の重篤な過敏症に注意し経過観察を行う｜下痢やAST・ALT上昇等の肝機能への影響を注視する
6139507,アビバクタムナトリウム・セフタジジム水和物,点滴投与による副作用の発現有無を確認。｜投与中の肝腎機能数値を確認し経過観察。｜下痢や発疹等の過敏症症状がないか確認済み。
6141001,エリスロマイシンエチルコハク酸エステル,胃腸障害の副作用発現状況を確認。｜空腹時の服用可否について説明済み。｜他剤との飲み合わせおよび相互作用を考慮し指導。
6141002,エリスロマイシン,食欲不振や腹部不快感の有無を確認。｜飲み忘れ時の対応を指導し継続服用を促す。｜副作用による消化器症状の発現がないか経過を観察。
6141004,エリスロマイシンステアリン酸塩,服用後の胃部不快感や下痢の有無を確認。｜食事の影響と吸収について患者へ説明。｜コンプライアンス良好を確認し副作用の発現を観察。
6141400,エリスロマイシンラクトビオン酸塩,注射剤の使用による局所反応の有無を確認。｜投与後の消化器系副作用の推移を監視。｜全身状態およびアレルギー症状の発現を観察。
6142001,スピラマイシン酢酸エステル,胃腸症状の有無を確認し、消化器症状発現時は連絡するよう指導済み。｜副作用症状の訴えなし、継続して経過を観察する。｜食事中または食後の服用を徹底し、胃部不快感がないことを確認した。
